-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,0.99
-0.07,0.12,0.99
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.11,0.99
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.11,1
-0.07,0.12,1
-0.07,0.13,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.13,1
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1.01
-0.12,0.12,1
-0.05,0.11,1
-0.09,0.14,1.01
-0.08,0.12,1.01
-0.08,0.12,1
-0.04,0.13,1.02
-0.08,0.11,0.99
-0.07,0.13,1.02
-0.07,0.13,1.02
-0.09,0.11,1.01
-0.07,0.13,1.01
-0.08,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.11,1.01
-0.04,0.13,1.02
-0.06,0.12,1.01
-0.07,0.13,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.08,0.12,1.01
-0.07,0.13,1.01
-0.07,0.13,1.01
-0.08,0.12,1.01
-0.07,0.12,1.01
-0.09,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1.01
-0.08,0.12,1
-0.07,0.12,0.99
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.08,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1.02
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.13,1.01
-0.07,0.11,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,0.99
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.13,1
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.13,1.02
-0.07,0.12,1
-0.08,0.12,1
-0.07,0.12,1
-0.07,0.13,1.01
-0.07,0.13,1.01
-0.07,0.12,1
-0.07,0.12,1
-0.07,0.12,1.01
-0.07,0.12,1
-0.08,0.12,1
